"Regione","anno1996","anno1997","anno1998","anno1999","anno2000","anno2001","anno2002","anno2003","anno2005","anno2010","anno2015","anno2017","anno2019"
"Piemonte","2.2","2.2","2.3","2.3","2.1","1.9","2.1","2.4","2.5","2.1","1.9","1.8","1.9"
"Valle D'Aosta","4.9","5.1","4.6","5.3","3.6","2","2.1","6.5","4.4","3.7","3.9","4","4.1"
"Lombardia","1.6","1.6","1.7","1.8","2","2","2.1","1.8","2.3","2","1.7","1.7","1.8"
"Trentino","2.4","2.4","2.4","2.6","2.1","2","2.1","2.5","2.6","2.3","3.1","3","3.1"
"Veneto","1.8","1.8","1.9","2","2.1","2","2.1","2","2.5","2.1","2","2","2.1"
"Friuli","2.1","2.2","2.2","2.3","1.9","2","2","2.4","2.6","2.2","2","2","2.1"
"Liguria","2.3","2.4","2.4","2.5","1.8","1.9","2","2.7","3","2.5","2.2","2.2","2.4"
"Emilia Romagna","2","2.1","2","2.2","2.2","1.9","2.1","2.2","3","2.5","2.2","2.2","2.3"
"Toscana","1.8","1.9","1.9","2","2","1.9","2","2.1","2.6","2.2","2","2","2.1"
"Umbria","1.7","1.7","1.7","1.8","2.2","1.9","2","1.8","2.9","2.5","2","2","2.1"
"Marche","2","2","1.9","2.1","2.1","2","2","2","2.8","2.4","2.2","2.2","2.3"
"Lazio","1.7","1.7","1.8","1.8","2.1","1.8","2.1","1.9","2.7","2.3","1.8","1.8","1.8"
"Abruzzo","2.5","2.5","2.7","2.7","2","2","1.9","3","2.5","2.3","1.9","1.9","2"
"Molise","2.1","2.1","2","2.3","1.9","2","1.9","2","2.2","2","1.8","1.8","1.9"
"Campania","1.7","1.7","1.7","1.8","1.7","1.9","1.9","1.8","2","1.7","1.4","1.4","1.5"
"Puglia","1.6","1.6","1.7","1.7","1.6","1.9","1.9","1.8","1.8","1.6","1.5","1.5","1.6"
"Basilicata","1.7","1.7","1.7","1.9","1.8","2","1.9","1.6","2","1.8","1.5","1.5","1.6"
"Calabria","2","2","2.1","2.2","1.7","2","1.8","2.2","1.8","1.7","1.5","1.5","1.6"
"Sicilia","1.8","1.9","1.9","2","1.7","1.9","1.9","2","1.8","1.6","1.4","1.4","1.5"
"Sardegna","1.3","1.4","1.4","1.5","1.7","2","1.9","1.4","2.3","2.1","1.8","1.8","1.9"
