"Regione","anno2005 ","anno2009 ","anno2011 ","anno2013 ","anno2015 ","anno2017 ","anno2019 ","anno2020 ","anno2021 "
"Piemonte","987.50","772.70","690.10","550.10","547.70","508.10","545.40","425.80","509.40"
"Valle D'Aosta","52.80","47.80","34.20","58.20","57.00","21.30","23.10","17.40","20.00"
"Lombardia","2243.20","1792.70","1629.50","1437.30","1466.30","1472.60","1418.20","1077.70","1335.40"
"Trentino","232.00","195.80","174.30","155.00","157.00","121.20","138.40","121.30","137.20"
"Veneto","1090.70","865.40","764.90","632.40","582.30","533.50","749.30","554.00","627.00"
"Friuli","378.00","272.40","219.80","176.30","176.80","173.60","173.40","149.30","175.30"
"Liguria","384.20","318.40","255.40","237.20","292.30","234.40","225.30","187.20","227.30"
"Emilia Romagna","1110.80","831.50","743.70","657.10","634.60","633.20","565.00","457.30","565.10"
"Toscana","1002.10","809.70","736.80","633.90","614.60","527.60","565.50","458.30","565.30"
"Umbria","200.10","163.70","144.00","125.80","122.60","112.10","118.40","100.50","123.30"
"Marche","341.60","254.50","216.70","183.80","162.50","152.40","147.70","123.20","164.20"
"Lazio","1408.00","1143.60","1064.30","874.40","863.30","845.50","796.30","575.60","770.80"
"Abruzzo","294.20","230.30","197.80","163.70","136.00","108.30","106.60","89.10","127.50"
"Molise","51.30","36.10","30.50","25.00","19.00","16.80","15.20","14.60","22.10"
"Campania","1004.30","752.70","629.50","514.40","488.10","434.60","387.20","289.60","393.10"
"Puglia","762.20","570.30","474.70","401.10","406.20","375.50","340.40","292.00","336.10"
"Basilicata","98.30","73.40","61.80","50.80","47.40","45.70","43.40","34.50","39.00"
"Calabria","371.00","291.20","250.30","206.90","189.70","178.50","182.20","158.60","188.50"
"Sicilia","1076.50","858.30","779.80","684.90","613.90","566.10","549.60","452.40","496.80"
"Sardegna","421.70","324.90","297.10","253.80","243.10","232.10","244.70","202.30","228.10"
