"Regione","anno2005 ","anno2009 ","anno2011 ","anno2013 ","anno2015 ","anno2017 ","anno2019 ","anno2020 ","anno2021 "
"Piemonte","38727","55588","85893","91237","89754","97818","100608","70640","85365"
"Valle D'Aosta","153","242","407","1163","974","821","1144","549","519"
"Lombardia","110557","144453","178721","179448","170757","159566","151249","105174","118112"
"Trentino","14546","11696","12593","13009","13961","11599","9865","6427","6888"
"Veneto","56017","80220","108515","135172","140788","154547","160691","140288","158944"
"Friuli","5921","9422","13314","9503","8418","7467","8395","6203","5557"
"Liguria","5022","5479","6709","7356","18036","19935","13740","20525","14968"
"Emilia Romagna","145528","197978","182039","245982","275923","306709","322761","257310","289587"
"Toscana","34511","47477","67038","77145","79024","74051","77556","61466","68530"
"Umbria","17445","16510","20842","25167","24981","24992","25121","19065","21496"
"Marche","43134","32670","43165","42150","41880","46333","51280","42064","47573"
"Lazio","180902","220653","232580","293767","336867","314181","298594","237420","235682"
"Abruzzo","27930","24030","25623","30635","29507","32148","27805","18055","19901"
"Molise","3763","3573","3839","4361","4780","3801","2914","1932","2316"
"Campania","171042","118254","134551","171147","178718","194576","186017","151456","170551"
"Puglia","67609","56808","63382","69910","81955","83158","91492","64389","64738"
"Basilicata","6809","6843","6167","7334","8523","7116","7118","5249","5576"
"Calabria","13911","10321","13835","15151","18864","20229","18249","12868","14574"
"Sicilia","65751","40311","50613","99978","104355","91322","83693","78150","65402"
"Sardegna","18420","16497","22395","17251","19664","15950","14065","10132","10688"
