"Regione","anno2005 ","anno2009 ","anno2011 ","anno2013 ","anno2015 ","anno2017 ","anno2019 ","anno2020 ","anno2021 "
"Piemonte","1723.90","1586.40","1843.60","1563.10","1579.10","1605.30","1646.50","1277.40","1406.80"
"Valle D'Aosta","180.90","189.00","185.80","221.80","162.20","52.90","65.60","50.40","57.60"
"Lombardia","3869.00","4139.70","4137.70","3842.40","4017.40","3858.10","3721.20","2986.30","3263.40"
"Trentino","667.40","695.00","629.60","583.50","560.20","486.80","572.00","519.60","573.30"
"Veneto","2114.90","2109.90","2322.40","1778.40","1804.60","1879.30","2574.30","2007.10","2170.40"
"Friuli","375.30","379.70","405.40","288.20","317.50","355.70","396.80","360.70","406.40"
"Liguria","559.00","577.80","566.40","506.10","636.40","574.70","551.60","496.30","729.60"
"Emilia Romagna","2701.30","2508.60","2610.30","2369.30","2354.30","2365.20","2270.70","1962.40","2231.20"
"Toscana","1571.80","1640.60","1584.90","1471.30","1498.60","1419.20","1634.80","1423.00","1609.60"
"Umbria","490.10","457.60","445.90","382.80","421.40","429.40","469.50","433.60","500.70"
"Marche","810.60","877.40","662.30","596.30","590.40","634.90","646.80","538.80","702.30"
"Lazio","2566.40","2997.30","3259.30","2386.40","2658.30","2745.00","2373.40","1670.90","2109.20"
"Abruzzo","651.70","684.50","622.50","526.10","472.00","440.60","452.00","384.90","520.00"
"Molise","132.50","133.90","116.30","98.40","92.50","86.60","93.00","83.20","106.90"
"Campania","1638.30","1646.60","1535.40","1631.40","1787.90","1689.20","1548.40","1335.90","1769.90"
"Puglia","1433.30","1516.10","1456.30","1279.10","1360.20","1406.00","1470.10","1368.00","1543.50"
"Basilicata","212.20","219.90","199.50","174.90","184.50","186.50","203.20","173.10","207.70"
"Calabria","653.50","749.90","718.50","555.30","569.10","640.60","739.00","689.60","814.70"
"Sicilia","1456.90","1596.40","1630.40","1596.90","1583.30","1575.00","1645.80","1537.90","1689.10"
"Sardegna","619.80","683.30","629.40","501.70","599.40","629.90","721.60","631.00","708.90"
