"Id_distributore","Provincia","Regione","Nome","Anno_inserimento","Lon","Lat"
"21225991","milano","Lombardia","","2013","9.1506732","45.4592"
"21306396","milano","Lombardia","Shell","2015","9.1480899","45.4422217"
"21663196","milano","Lombardia","","2013","9.1654389","45.480316"
"27584689","milano","Lombardia","","2013","9.1491174","45.4606275"
"29344764","piacenza","Emilia Romagna","","2014","9.904908","44.9634906"
"30238960","udine","Friuli","Agip","2014","13.2011916","46.0558392"
"30407616","venezia","Veneto","Esso","2014","12.8881208","45.8042987"
"31011528","milano","Lombardia","","2014","9.1198627","45.4451139"
"31298257","benevento","Campania","","2007","14.8832882","41.1671701"
"31334839","milano","Lombardia","","2014","9.2027829","45.4265473"
"31439409","rovigo","Veneto","Esso","2014","11.7793895","45.0731875"
"47119895","genova","Liguria","","2013","8.952727","44.4069584"
"52086957","trieste","Friuli","De Cleva e Bernardini","2015","13.8155252","45.638342"
"54196480","pescara","Abruzzo","","2010","13.9246845","42.4556097"
"61100893","bolzano","Trentino","Distributore di carburante - Tankstelle","2014","11.5396558","46.4651113"
"70581857","trieste","Friuli","Lonza e Coglievina S.r.l.","2015","13.7822936","45.6834599"
"70582442","trieste","Friuli","Area Tamoil","2015","13.7764407","45.6553688"
"70583680","trieste","Friuli","J & J Service","2015","13.7945856","45.6580359"
"70684126","trieste","Friuli","Stazione di servizio Duino Sud","2015","13.6084255","45.7765856"
"76050465","pescara","Abruzzo","Dam Carburanti","2014","14.1732125","42.4918742"
"81726485","genova","Liguria","","2015","8.9636861","44.4420573"
"81731799","genova","Liguria","Planet Oil Via Emilia","2015","8.9728678","44.4499303"
"81731815","genova","Liguria","GENOVA G. ADAMOLI 361/2","2015","8.978397","44.4521149"
"81733329","genova","Liguria","G.M. di Gugino Vincenzo & C. snc","2015","8.9799492","44.4538209"
"81733423","genova","Liguria","Eni Molassana 01068","2015","8.9848548","44.4545739"
"85704111","pescara","Abruzzo","Api","2014","14.170891","42.4991003"
"86030368","pescara","Abruzzo","Total","2014","14.1844681","42.4943483"
"86979761","genova","Liguria","","2015","8.9968711","44.4490167"
"86980679","genova","Liguria","","2013","9.0046592","44.4475838"
"87435944","pescara","Abruzzo","Agip","2014","14.1589001","42.5192146"
"90560991","pescara","Abruzzo","Esso","2014","14.1668981","42.5027035"
"95754782","milano","Lombardia","Esso","2015","9.1673143","45.4982699"
"96047693","genova","Liguria","","2013","8.9404225","44.5298326"
"100993389","roma capitale","Lazio","Tamoil","2013","12.4867101","41.8821633"
"107989970","siena","Toscana","","2014","11.3142082","43.3322844"
"115984299","siena","Toscana","","2014","11.3242033","43.3026416"
"122182779","genova","Liguria","","2014","8.9461616","44.4010137"
"122210542","genova","Liguria","","2007","8.9560148","44.4138694"
"131959104","verona","Veneto","","2015","11.3334402","45.1520296"
"131964327","rovigo","Veneto","","2009","11.716473","45.0206971"
"135097583","pescara","Abruzzo","Martina Gas","2014","14.1728852","42.494949"
"135100418","pescara","Abruzzo","Martina Gas","2014","14.1418921","42.514546"
"141408020","pescara","Abruzzo","","2014","14.192299","42.469163"
"148740778","savona","Liguria","","2015","8.3602833","44.2253094"
"154858257","rovigo","Veneto","","2014","11.7855874","45.0700108"
"155609412","genova","Liguria","","2013","8.9779852","44.4074001"
"173289410","genova","Liguria","Agip","2013","8.9695697","44.4053786"
"186242021","treviso","Veneto","Esso - Ostricaro","2014","11.9723309","45.7930226"
"187053794","genova","Liguria","","2014","8.9489145","44.3977229"
"187168238","genova","Liguria","Europam","2014","8.9879153","44.4004185"
"187168948","genova","Liguria","","2013","9.0004519","44.3939677"
"187170492","genova","Liguria","","2014","9.0083786","44.3924299"
"193860739","genova","Liguria","IP","2011","8.9670549","44.4198599"
"196162560","varese","Lombardia","","2014","8.9809518","45.6656444"
"196162565","varese","Lombardia","","2014","8.9794209","45.6570098"
"196404349","genova","Liguria","Esso","2013","9.2100576","44.3555205"
"196421494","genova","Liguria","","2010","9.3214292","44.3213887"
"198017330","venezia","Veneto","Agip","2014","12.8804655","45.8046175"
"198233293","genova","Liguria","","2015","8.9530898","44.4114439"
"198769059","genova","Liguria","","2013","9.0879584","44.3736191"
"201641600","genova","Liguria","","2014","8.9030834","44.4105046"
"201696039","ascoli piceno","Marche","","2014","13.6220672","42.8505452"
"201696589","ascoli piceno","Marche","Agip","2014","13.6262582","42.8500235"
"203129748","treviso","Veneto","Carburanti Agip De Bortoli Walter","2015","12.0195317","45.7801575"
"203136238","treviso","Veneto","Agip Feltrina Montebelluna","2015","12.0445451","45.7893053"
"203136245","treviso","Veneto","Dametto Giovanni Ingrosso Dametto","2014","12.0115978","45.8211245"
"203712259","genova","Liguria","","2011","8.8923066","44.4091289"
"203729951","genova","Liguria","","2013","8.9007745","44.4111545"
"203730960","genova","Liguria","Q8","2014","8.8981259","44.407084"
"205299079","genova","Liguria","","2013","8.9499666","44.4204957"
"205299360","genova","Liguria","","2012","8.9483837","44.423113"
"205307212","genova","Liguria","","2015","8.9560428","44.4286165"
"206120272","genova","Liguria","","2014","8.9806431","44.4056152"
"206153690","napoli","Campania","","2014","14.3623654","40.8438362"
