Provincia;Distributori
agrigento;43
alessandria;177
altro;63
ancona;144
aosta;55
arezzo;107
ascoli piceno;54
asti;77
avellino;63
bari;197
barletta;62
belluno;77
benevento;59
bergamo;165
biella;77
bologna;235
bolzano;107
brescia;321
brindisi;48
cagliari;259
caltanissetta;28
campobasso;83
carbonia iglesias;29
caserta;56
catania;246
catanzaro;78
chieti;73
como;111
cosenza;74
cremona;100
crotone;23
cuneo;212
enna;24
fermo;36
ferrara;89
firenze;227
foggia;179
forlì;124
frosinone;95
genova;237
gorizia;51
grosseto;82
imperia;48
isernia;24
l'aquila;49
la spezia;71
latina;77
lecce;121
lecco;71
livorno;123
lodi;25
lucca;186
macerata;58
mantova;103
massa carrara;64
matera;25
medio capidano;10
messina;180
milano;674
modena;127
monza brianza;119
napoli;313
novara;117
nuoro;40
ogliastra;21
olbia;42
oristano;28
padova;257
palermo;145
parma;109
pavia;187
perugia;220
urbino;73
pescara;97
piacenza;83
pisa;166
pistoia;109
pordenone;112
potenza;74
prato;42
ragusa;89
ravenna;113
reggio calabria;106
reggio emilia;87
rieti;27
rimini;80
roma;1243
rovigo;85
salerno;151
sassari;60
savona;72
siena;96
siracusa;18
sondrio;24
taranto;95
teramo;61
terni;58
torino;613
trapani;51
trento;164
treviso;286
trieste;35
udine;264
varese;151
venezia;297
verbania;50
vercelli;80
verona;257
vibo valentia;19
vicenza;243
viterbo;96
