"NOME_PRODOTTO","DATA_RILEVAZIONE","PREZZO","IVA","ACCISA","NETTO"
"Benzina","2005-01-03","1115.75","185.96","558.64","371.15"
"Gasolio auto","2005-01-03","1018.28","169.71","403.21","445.36"
"GPL","2005-01-03","552.50","92.08","156.62","303.80"
"Benzina","2005-01-10","1088.00","181.33","558.64","348.03"
"Gasolio auto","2005-01-10","1004.39","167.40","403.21","433.78"
"GPL","2005-01-10","552.57","92.09","156.62","303.86"
"Benzina","2005-01-17","1088.14","181.36","558.64","348.14"
"Gasolio auto","2005-01-17","1004.31","167.38","403.21","433.72"
"GPL","2005-01-17","551.88","91.98","156.62","303.28"
"Benzina","2005-01-24","1090.01","181.67","558.64","349.70"
"Gasolio auto","2005-01-24","1004.31","167.38","403.21","433.72"
"GPL","2005-01-24","551.88","91.98","156.62","303.28"
"Benzina","2005-01-31","1132.11","188.68","558.64","384.79"
"Gasolio auto","2005-01-31","1022.60","170.43","403.21","448.96"
"GPL","2005-01-31","551.88","91.98","156.62","303.28"
"Benzina","2005-02-07","1135.87","189.31","558.64","387.92"
"Gasolio auto","2005-02-07","1022.67","170.44","403.21","449.02"
"GPL","2005-02-07","551.88","91.98","156.62","303.28"
"Benzina","2005-02-14","1135.88","189.31","558.64","387.93"
"Gasolio auto","2005-02-14","1022.46","170.41","403.21","448.84"
"GPL","2005-02-14","551.88","91.98","156.62","303.28"
"Benzina","2005-02-21","1136.04","189.34","558.64","388.06"
"Gasolio auto","2005-02-21","1022.79","170.46","403.21","449.12"
"GPL","2005-02-21","551.88","91.98","156.62","303.28"
"Benzina","2005-02-28","1136.04","189.34","564.00","382.70"
"Gasolio auto","2005-02-28","1022.85","170.47","413.00","439.38"
"GPL","2005-02-28","551.88","91.98","156.62","303.28"
"Benzina","2005-03-07","1158.78","193.13","564.00","401.65"
"Gasolio auto","2005-03-07","1047.59","174.60","413.00","459.99"
"GPL","2005-03-07","552.37","92.06","156.62","303.69"
"Benzina","2005-03-14","1185.90","197.65","564.00","424.25"
"Gasolio auto","2005-03-14","1072.72","178.79","413.00","480.93"
"GPL","2005-03-14","553.56","92.26","156.62","304.68"
