"idStation","speed","location","lat","lng","Sigla","Provincia"
"NC-437855917622062","slow","Passeggiata Trento e Trieste ‌Ventimiglia","43.785591","7.622062","IM","imperia"
"OCPI-130-20XP22T3KK4AL00750","fast","Via Cornelio Tacito, 1 ‌Ventimiglia","43.788072","7.620764","IM","imperia"
"OCPI-130-19XP22T3KK1AL00281","fast","PIAZZA D'ARMI,32, 18033 ‌Camporosso","43.788389","7.63501","IM","imperia"
"OCPI-130-20XM32T7KK3AR00089","rapid,fast","Passeggiata Marconi, 26 ‌Ventimiglia","43.790368","7.600027","IM","imperia"
"OCPI-130-20XP22T3KK4AL00743","fast","Via San Secondo ‌Ventimiglia","43.793773","7.605871","IM","imperia"
"NC-437806187659855","slow","Via Cesare Balbo ‌Bordighera","43.780618","7.659855","IM","imperia"
"NC-437831587665775","slow","Via Roberto 82 ‌Bordighera","43.783158","7.665775","IM","imperia"
"NC-437772577671166","fast","Lungomare Argentina 16 ‌Bordighera, Imperia","43.777256","7.671166","IM","imperia"
"OCPI-238-IT*GCE*EACINYYH8QXW1","fast,rapid","Via Braie, 564 ‌Camporosso","43.80227","7.628914","IM","imperia"
"OCPI-130-19XM32T7GB3W000058","slow,rapid","Via Braie ‌Camporosso","43.803194","7.628216","IM","imperia"
"OCPI-130-EVOS_thing2844","fast","Via Roma, 50 ‌Dolceacqua","43.848221","7.6236","IM","imperia"
"OCPI-129-173e2dcb-a93f-4c38-94d4-4acc92dae234","fast","Via Provinciale, 7 ‌San Biagio della Cima","43.81451","7.65121","IM","imperia"
"NC-438117587765883","slow","Corso Matuzia 9 ‌Sanremo IM","43.810769","7.763556","IM","imperia"
"NC-438136297766248","slow","Via Roccasterone 12 ‌Sanremo - Imperia","43.813629","7.766248","IM","imperia"
"NC-4386650810258788","slow","Via del Castillo 17 ‌Sanremo IM","43.820083","7.790318","IM","imperia"
"OCPI-126-t53_it1_4416_012","rapid","Argine Destro ‌Arma di Taggia","43.83266","7.8583","IM","imperia"
"OCPI-129-a68865f5-d77a-44e5-92ad-fac11d20eddd","fast","Via Libertà, 29 ‌Airole","43.87172","7.55521","IM","imperia"
"OCPI-129-b29b06ec-6a0a-401a-abc2-f5fb3afca0f6","fast","Piazza Mons Antonio Rossi, 3 ‌Perinaldo","43.86703","7.67445","IM","imperia"
"NC-438577737968319","slow","Via Amerigo Vespucci ‌San Lorenzo al Mare","43.857773","7.968319","IM","imperia"
"OCPI-130-20XP22T3KK4AL01003","fast","VIA SAN LORENZO ‌Dolcedo","43.906832","7.953076","IM","imperia"
"OCPI-129-5607db5a-29de-45aa-99f5-976687e0f0a4","fast","Via Torino, 152 ‌Pontedassio","43.93968","8.01567","IM","imperia"
"NC-439470418041019","slow","Via Belvedere ‌Diano Arentino","43.947041","8.041019","IM","imperia"
"NC-439092848079705","fast","Via Lombardi E Rossignoli ‌Diano Marina","43.90946","8.080069","IM","imperia"
"NC-439167458092214","slow","Via davide gaggero10 ‌Diano marina","43.909801","8.079043","IM","imperia"
"NC-439102348081474","slow","Piazza Maglione ‌Diano Marina","43.910234","8.081474","IM","imperia"
"DW-200192","fast","Via Giovanni Biancheri, 17 ‌Diano Marina","43.910776","8.081027","IM","imperia"
"GASGAS-00015","fast","Via Petrarca, 45 ‌Diano Marina","43.91086","8.082393","IM","imperia"
"NC-439130658087439","slow","Via Generale Ardoino ‌Diano Marina","43.913065","8.087439","IM","imperia"
"NC-439155508090910","slow","Via degli Oleandri 36 ‌Diano Marina","43.91555","8.09091","IM","imperia"
"NC-439155778089742","slow","Via dei Gerani 9 ‌Diano Marina","43.915743","8.089934","IM","imperia"
