 idStation;speed;location;lat;lng
NC-437855917622062;slow;Passeggiata Trento e Trieste ‌Ventimiglia;43.785591;7.622062
OCPI-130-20XP22T3KK4AL00750;fast;Via Cornelio Tacito, 1 ‌Ventimiglia;43.788072;7.620764
OCPI-130-19XP22T3KK1AL00281;fast;PIAZZA D'ARMI,32, 18033 ‌Camporosso;43.788389;7.635010
OCPI-130-20XM32T7KK3AR00089;rapid,fast;Passeggiata Marconi, 26 ‌Ventimiglia;43.790368;7.600027
OCPI-130-20XM32T8KK4AR00032;rapid;Via Ruffini, 18039 Ventimiglia IM, Italy ‌Ventimiglia;43.790446;7.609330
OCPI-130-20XM32T8KK4AR00034;rapid;Corso Orazio Raimondo - Parcheggio Conad ‌Vallecrosia;43.791058;7.643365
OCPI-130-21XP22T3KKJAK00444;fast;Via Roma, 3, 18039 Ventimiglia IM, Italy ‌Ventimiglia;43.791828;7.606156
OCPI-130-20XP22T3KK4AL00743;fast;Via San Secondo ‌Ventimiglia;43.793773;7.605871
NC-437806187659855;slow;Via Cesare Balbo ‌Bordighera;43.780618;7.659855
NC-437831587665775;slow;Via Roberto 82 ‌Bordighera;43.783158;7.665775
NC-437772577671166;fast;Lungomare Argentina 16 ‌Bordighera, Imperia;43.777256;7.671166
438068807585144-NC_1;slow;Via Garian ‌Seglia;43.806881;7.585144
OCPI-238-IT*GCE*EACINYYH8QXW1;fast,rapid;Via Braie, 564 ‌Camporosso;43.802270;7.628914
OCPI-130-19XM32T7GB3W000058;slow,rapid;Via Braie ‌Camporosso;43.803194;7.628216
OCPI-130-EVOS_thing2844;fast;Via Roma, 50 ‌Dolceacqua;43.848221;7.623600
OCPI-129-173e2dcb-a93f-4c38-94d4-4acc92dae234;fast;Via Provinciale, 7 ‌San Biagio della Cima;43.814510;7.651210
NC-438300807696745;slow;Strada della Villa ‌Seborga;43.830078;7.696745
WA-TESLA-45012;fast;Strada Tiro a Volo ‌Sanremo;43.802420;7.745377
NC-438117587765883;slow;Corso Matuzia 9 ‌Sanremo IM;43.810769;7.763556
WA-TESLA-20131;fast;Strada Sthuttleworth ‌Sanremo;43.812623;7.764520
COM25R13Q1200100;fast;Via Pietro Agosti ‌Sanremo;43.822815;7.765198
NC-438136297766248;slow;Via Roccasterone 12 ‌Sanremo - Imperia;43.813629;7.766248
DW-210347;fast;Corso Imperatrice, 114 ‌Sanremo;43.812284;7.766731
NC-438126817767341;slow;Corso Imperatrice ‌Sanremo;43.812681;7.767341
40802612.00321;fast;Largo Nuvoloni ‌Sanremo;43.814042;7.768155
DW-210244;fast;Via San Francesco ‌Sanremo;43.824136;7.774850
NC-438242957774996;slow;Via Martiri delle Foibe ‌Sanremo;43.824295;7.774996
DW-210237;fast;Corso Giuseppe Garibaldi, 30 ‌Sanremo;43.819248;7.779165
NC-438199007788055;slow;Via Enrico Gavagnin ‌Sanremo;43.819469;7.785845
DW-210240;fast;Via G. Anselmi ‌Sanremo;43.820532;7.787601
NC-4386650810258788;slow;Via del Castillo 17 ‌Sanremo IM;43.820083;7.790318
DW-210214;fast;Via Privata Garbarino 2 ‌Sanremo;43.822055;7.792822
NC-438240687830973;fast;Via Armea ‌Sanremo;43.823712;7.831070
NC-438254207803627;slow;Via Val D'Olivi 263 ‌San Remo;43.825420;7.803627
OCPI-130-EVOS_thing13970;fast;Via San Francesco, 350 – Gino SpA ‌Taggia;43.844271;7.851238
OCPI-172-51;fast;Via del Piano (Parco Commerciale Taggia) ‌Arma di Taggia (IM);43.846141;7.856539
OCPI-126-t53_it1_4416_012;rapid;Argine Destro ‌Arma di Taggia;43.832660;7.858300
NC-438375637911195;slow;Porto Marina degli Aregai ‌Santo Stefano al mare;43.837563;7.911195
OCPI-129-a68865f5-d77a-44e5-92ad-fac11d20eddd;fast;Via Libertà, 29 ‌Airole;43.871720;7.555210
OCPI-129-b29b06ec-6a0a-401a-abc2-f5fb3afca0f6;fast;Piazza Mons Antonio Rossi, 3 ‌Perinaldo;43.867030;7.674450
438534545898437507964559555053711_1;slow;SS1 ‌San Lorenzo Al Mare;43.853455;7.964560
NC-438577737968319;slow;Via Amerigo Vespucci ‌San Lorenzo al Mare;43.857773;7.968319
NC-438771627988074;fast;Via Giovanni Ballestra, 43 ‌Imperia;43.877162;7.988074
WA-TESLA-30052;fast;Strada Colla ‌Imperia;43.881226;7.992559
OCPI-130-20XM32T7KK4AR00127;rapid;Via Littardi Tommaso ‌Imperia;43.871864;8.001187
NC-438744428017706;fast;Corso Giuseppe Garibaldi 29 ‌Imperia;43.874435;8.017804
NC-438762058019335;fast;Via Scarincio, 148 ‌Imperia;43.876205;8.019335
OCPI-130-18XM32T7CB3W000155;rapid;Via Giuseppe Airenti - CONAD ‌Imperia;43.878213;8.006374
OCPI-130-21XP22T3KKJAK00288;fast;Via Meriello, 30A, 18100 Imperia IM, Italy ‌Imperia;43.879504;8.014097
OCPI-130-20XP22T3KK4AL00975;fast;Piazza della Vittoria, 1 ‌Imperia;43.885826;8.028368
OCPI-130-21XP22T3KKJAK00644;fast;Piazza Goito, 18100 Imperia IM, Italy ‌Imperia;43.888472;8.043399
WA-TESLA-35798;fast;Via G. B. Vieusseux ‌Imperia;43.890257;8.040249
WA-TESLA-42251;slow,rapid;Via Garessio ‌Imperia;43.892580;8.039121
NC-438982108033567;slow;Via Argine Sinistro ‌Imperia;43.898210;8.033567
OCPI-130-20XP22T3KK4AL01006;fast;Piazza dell'Unità Nazionale ‌Imperia;43.892125;8.039442
OCPI-130-20XP22T3KK4AL01003;fast;VIA SAN LORENZO ‌Dolcedo;43.906832;7.953076
OCPI-129-5607db5a-29de-45aa-99f5-976687e0f0a4;fast;Via Torino, 152 ‌Pontedassio;43.939680;8.015670
NC-439470418041019;slow;Via Belvedere ‌Diano Arentino;43.947041;8.041019
NC-439092848079705;fast;Via Lombardi E Rossignoli ‌Diano Marina;43.909460;8.080069
NC-439167458092214;slow;Via davide gaggero10 ‌Diano marina;43.909801;8.079043
NC-439102348081474;slow;Piazza Maglione ‌Diano Marina;43.910234;8.081474
DW-200192;fast;Via Giovanni Biancheri, 17 ‌Diano Marina;43.910776;8.081027
GASGAS-00015;fast;Via Petrarca, 45 ‌Diano Marina;43.910860;8.082393
NC-439130658087439;slow;Via Generale Ardoino ‌Diano Marina;43.913065;8.087439
NC-439155508090910;slow;Via degli Oleandri 36 ‌Diano Marina;43.915550;8.090910
NC-439155778089742;slow;Via dei Gerani 9 ‌Diano Marina;43.915743;8.089934
NC-439160258076888;fast;Via Diano San Pietro 101 ‌Diano Castello;43.916025;8.076888
WA-TESLA-29168;fast;Via Sausette ‌Diano Marina;43.916177;8.091644
WA-TESLA-20109;fast;Via Generale Ardoino ‌Diano Marina;43.916745;8.092214
NC-439207568098584;slow;Via al Santuario, 8 ‌San Bartolomeo al Mare;43.920756;8.098584
DW-200199;fast;Via al Santuario, 8 ‌San Bartolomeo al Mare;43.921449;8.098711
OCPI-129-7a98c877-742e-45c3-b8c9-6bbcdd818f08;fast;Via Meloria, 4 ‌Diano Castello;43.923500;8.067330
NC-439447478137788;slow;Via Trieste ‌Marina di Andora;43.944747;8.137788
OCPI-130-20XP22T3KK4AZ00043;fast;VIA PADRE FRANCESCO FERRAIRONI,2, 18010 ‌Triora;43.993596;7.762975
OCPI-130-EVOS_thing3363;fast;Via Bonfanti ‌Triora;43.993849;7.760287
NC-439537027996900;slow;Via XX Settembre ‌Sarola;43.953866;7.996672
NC-439696377982013;slow;Via IV Novembre ‌Chiusavecchia;43.969637;7.982013
OCPI-219-9c1e4412-02dd-420c-8c2a-47cde977931d;rapid;Autostrada A10 Genova-Ventimiglia, 32 ‌Andora SV;43.959080;8.134100
OCPI-130-18XM32T77B3W000059;rapid;Via Santa Caterina, 9 - CONAD ‌Andora;43.964734;8.136946
OCPI-126-SC0103.CB;fast;Via dei Glicini ‌Laigueglia;43.972252;8.159098
NC-439753148158096;slow;Via Roma ‌Laigueglia;43.975315;8.158096
NC-439991438166779;slow;Via Roma 63 ‌Alassio;43.999143;8.166779
OCPI-129-d2be87c4-2a29-4e27-aca0-fb8f7d57a6e1;fast;Strada Provinciale 6, 18 ‌Casanova Lerrone;44.031655;8.048229
NC-440353218046356;fast;Villa Barca, Borgata Case Soprane 25 ‌Casanova Lerrone;44.035303;8.046403
OCPI-129-d5282e19-c0a9-4ed8-97a1-1188110bed8d;fast;Via Roma, 51 ‌Stellanello;44.000240;8.059240
OCPI-130-20XM32T8KK3AR00101;rapid;Borgata Ponte, 17033 Garlenda SV, Italy ‌Garlenda;44.032170;8.094362
WA-TESLA-26471;fast;Regione San Rocco ‌Garlenda;44.030455;8.114234
OCPI-207-IT*REV*E81;fast;Corso Dante Alighieri ‌Alassio;44.003162;8.168558
OCPI-130-19XP22T3KK4AD00120;fast;Via Adelasia, 99, 17021 Alassio SV, Italy ‌Alassio;44.009006;8.163390
WA-TESLA-43194;fast;Via Giuseppe Galliano ‌Alassio;44.011455;8.172372
NC-440144388182070;slow;Viale Daniele Hanbury ‌Alassio;44.014439;8.182070
NC-443038408460799;slow;Porto Luca Ferrari ‌Alassio;44.017521;8.192047
COM25R22Q4200098;fast;Via Giuseppe Mazzini ‌Albenga;44.049745;8.215830
OCPI-130-20XP22T3KK1AL00482;fast;Piazza Sagrato ‌Montegrosso Pian Latte;44.067100;7.816960
NC-440584828019787;slow;Strada Provinciale 453 ‌Ranzo-Borgo;44.058482;8.019787
OCPI-130-21XP22T3KKJAL00647;fast;Via Alessandro Colombo, 53 ‌Cisano Sul Neva;44.087189;8.144946
OCPI-126-t53_it1_0217_018;rapid;Via Cardinale Alimonda - Coop Le Serre ‌Albenga;44.054880;8.195690
44448783333333348973333333333333_1;slow;Strada Provinciale 582 del Colle di San Berna ‌Albenga;44.056011;8.194462
OCPI-130-19XM32T7GB3W000063;rapid;SP582, 1 ‌Cisano Sul Neva;44.069992;8.168698
OCPI-129-cad490f8-e3ed-4396-9471-c2db92cbd9d2;fast,rapid;Strada Statale Albenga - Garessio, 3 ‌Albenga;44.055250;8.205120
NC-440570018224689;slow;Viale Ernesto Che Guevara 57 ‌Albenga;44.058006;8.224956
OCPI-219-5b12a564-d7f9-42db-936f-b0a4e024e6b5;rapid;A10, Autogrill station Ceriale ‌Province of Savona;44.087770;8.206260
OCPI-130-EVOS_thing2974;fast;Via Magnone ‌Ceriale;44.091990;8.226721
NC-441285667727702;slow;Colle dei Signori ‌Upega;44.128566;7.727702
NC-441197017883140;fast;via nazionale ‌Ormea;44.119701;7.883140
OCPI-130-EVOS_thing2043;fast;Lungomare Armando Diaz, 1 ‌Ceriale;44.100047;8.235702
441211088225691-NC_1;slow;Regione Bottiglie ‌Toirano;44.121109;8.225691
WA-TESLA-35847;fast;Viale Silvio Amico ‌Loano;44.130548;8.243471
WA-TESLA-25916;fast;Lungo Mare Sauro Nazario ‌Loano;44.130240;8.262984
NC-441317048263674;slow;Lungomare Nazario Sauro ‌Loano;44.131620;8.263775
OCPI-130-21BZ1458A_4cfynn64bk;rapid;Via Aurelia, 88, 17025 Loano SV, Italy ‌Loano;44.134404;8.262752
803;slow;Via Goffredo Mameli ‌Pietra Ligure;44.140064;8.268979
OCPI-130-20XM32T7KK4AR00140;rapid;Viale 25 Aprile ‌Pietra Ligure;44.144238;8.274675
NC-441563167563610;slow;Località Panice Soprana, 115 ‌Limone Piemonte;44.156316;7.563610
NC-441660777568881;slow;Panice Soprana ‌Limone Piemonte;44.166088;7.568825
NC-441665067553237;slow;Via Rocca dell'Abisso 33 ‌Limone Piemonte;44.166506;7.553237
NC-441665017568808;slow;SS20 ‌Panice Sottana;44.180458;7.565910
NC-441989517580820;slow;Via Genova ‌Limone Piemonte;44.198951;7.580820
OCPI-130-20XM32T8KK3AR00089;rapid;Via Roma, 12015 Limone Piemonte CN, Italy ‌Limone Piemonte;44.199372;7.575325
OCPI-130-20XP22T3KK4AL01007;fast;Via Ignazio Borro ‌Pietra Ligure;44.151182;8.284981
NC-441528968292107;slow;Corso Italia 219 ‌Pietra Ligure;44.152905;8.292105
NC-441953968273079;slow;Via San Pantaleo in Frazione Bardino Vecchio ‌Tovo San Giacomo;44.195396;8.273079
NC-441776598326104;slow;Via Fiume 3 ‌Finale Ligure;44.177659;8.326104
WA-TESLA-25247;fast;Strada Provinciale 20 del Colle di Tenda e di ‌Vernante;44.243800;7.533107
OCPI-130-EVOS_thing7017;fast;PIAZZA RISORGIMENTO,21 ‌Limone Piemonte;44.202496;7.577884
OCPI-130-20XP22T3KK4AL00178;fast;Via Provinciale ‌Priola;44.246446;8.022234
OCPI-129-57978f4a-0787-419e-b2d5-cb8d06736e12;fast;Via 5 Martiri, 2 ‌Calizzano;44.236870;8.115710
