"provincia","AL","BE","BG","BM","EL","GA","IB","IG","ME","ND","Totale"
"agrigento","4","125980","6601","545","133","161953","1936","183","47","6","297388"
"alessandria","7","129941","21449","3862","545","123588","6979","648","567","10","287596"
"ancona","2","103486","22984","40810","628","126840","5892","830","8955","9","310436"
"aosta","1","94473","2909","310","1640","129832","19346","750","114","1","249376"
"arezzo","9","99149","18077","11259","385","106268","4055","594","2161","11","241968"
"ascoli piceno","1","53887","11931","8952","298","66345","2483","301","1416","1","145615"
"asti","1","68070","11669","1187","278","66212","2900","242","158","2","150719"
"avellino","3","92899","25190","8623","209","143028","2127","334","873","2","273288"
"bari","8","252380","49987","23785","900","384111","9334","1323","3816","27","725671"
"barletta trani","0","84878","10825","2459","148","125292","2238","300","398","3","226541"
"belluno","3","59335","4719","526","212","67594","3229","420","198","0","136236"
"benevento","1","63425","14696","4539","154","101636","1673","196","546","4","186870"
"bergamo","10","351409","43507","9705","2677","263343","20232","1868","3059","16","695826"
"biella","3","68094","8118","616","252","47785","3515","240","107","3","128733"
"bologna","11","249610","72987","40516","2157","219607","26698","2570","9033","17","623206"
"bolzano","18","184805","6904","1489","4438","254009","17634","6363","3995","7","479662"
"brescia","19","365908","67051","11980","3375","340962","19826","2575","4497","23","816216"
"brindisi","1","96248","13867","5405","216","138202","2003","419","585","15","256961"
"cagliari","0","144083","7039","111","613","124933","5422","338","14","13","282566"
"caltanissetta","0","71722","4194","974","82","89537","1175","144","63","4","167895"
"campobasso","4","50073","10381","4851","126","83404","1424","173","531","0","150967"
"caserta","3","221878","62348","11627","611","286018","4476","608","710","18","588297"
"catania","5","400234","35046","7782","938","389147","6429","845","1117","29","841572"
"catanzaro","1","100832","8110","648","221","125060","2901","363","327","8","238471"
"chieti","3","102404","20281","5396","345","130951","3641","370","953","10","264354"
"como","14","255083","10282","1517","1739","118176","15638","970","574","14","404007"
"cosenza","7","201360","15487","2869","410","274224","4059","568","580","23","499587"
"cremona","5","102201","13959","2944","722","97509","6262","788","954","8","225352"
"crotone","0","43443","3586","347","29","60524","852","111","37","0","108929"
"cuneo","11","177565","30234","1175","1122","198741","9662","947","294","15","419766"
"enna","0","45638","2561","199","56","59221","598","66","36","1","108376"
"fermo","0","39064","8387","15082","208","55388","1417","260","2931","0","122737"
"ferrara","7","86053","29108","14651","372","93510","5071","664","3106","4","232546"
"firenze","17","326845","43538","16148","7292","353262","35887","5848","4971","25","793833"
"foggia","2","114254","18138","11305","189","205478","3075","430","1404","6","354281"
"forlì","9","99368","31903","15330","587","107356","5119","732","3088","3","263495"
"frosinone","2","138970","33983","5117","446","177717","3794","444","807","34","361314"
"genova","7","229725","13157","3109","863","156228","14353","908","474","6","418830"
"gorizia","4","56370","1358","95","214","30788","2402","153","16","1","91401"
"grosseto","4","64523","8985","2513","193","71519","2363","319","451","3","150873"
"imperia","4","72432","2838","140","186","48658","3186","165","29","0","127638"
"isernia","2","22564","3565","397","42","37261","452","81","51","1","64416"
"la spezia","4","84653","15141","2837","302","110096","3064","340","530","2","216969"
"l'aquila","0","62399","9241","3056","302","49062","3225","341","706","4","128336"
"latina","1","148990","31054","4235","594","190680","5699","617","691","2","382563"
"lecce","8","198109","39894","12464","536","265590","3953","781","2000","22","523357"
"lecco","3","123810","7788","804","884","77878","7248","538","287","3","219243"
"livorno","5","100348","11958","4338","302","82962","4448","492","854","10","205717"
"lodi","3","66410","10405","1559","375","59799","3497","424","407","9","142888"
"lucca","2","128160","19482","9035","575","97332","6075","789","1635","7","263092"
"macerata","2","69153","12843","28859","425","98907","3068","589","7008","3","220857"
"mantova","4","119610","21534","5330","748","121335","5678","814","1723","6","276782"
"massa carrara","0","59447","9749","3538","207","46306","2649","371","597","2","122866"
"matera","0","43624","5163","1943","163","76015","1305","194","329","0","128736"
"messina","3","217603","14936","1367","377","188380","3815","357","472","23","427333"
"milano","26","1062998","106511","12885","7509","527116","80385","5762","4454","201","1807847"
"modena","4","193357","51717","20048","1375","193947","14018","1825","4092","6","480389"
"monza brianza","4","334561","29678","3190","2093","174535","21178","1566","1026","30","567861"
"napoli","13","869215","209810","39842","1193","693821","12978","1469","2287","129","1830757"
"non definito","0","9625","227","63","0","2255","0","0","2","3997","16169"
"novara","8","124042","17743","1852","678","92034","7372","610","547","4","244890"
"nuoro","1","65150","2816","82","182","79981","1322","132","7","0","149673"
"oristano","0","47329","2409","49","135","54899","786","75","4","0","105686"
"padova","12","257701","61923","16014","2039","251572","17890","2404","4880","13","614448"
"palermo","4","384328","42481","3721","653","335629","8557","639","1066","35","777113"
"parma","21","113890","28428","23171","723","118839","7637","1046","4376","2","298133"
"pavia","10","177070","21883","4132","715","138746","9737","736","957","10","353996"
