Anno,Codice,Regione,Idrica,Eolica,Fotovoltaica,Geotermica,Bioenergie,Totale
2001,01,Piemonte,6531,0,0,0,123,6654
2001,02,Valle D'Aosta,3053,0,0,0,0,3053
2001,03,Lombardia,12416,0,0,0,1019,13436
2001,04,Trentino,10554,0,0,0,69,10623
2001,05,Veneto,4148,0,0,0,313,4461
2001,06,Friuli,1617,0,0,0,46,1663
2001,07,Liguria,264,2,0,0,21,287
2001,08,Emilia Romagna,1050,5,0,0,373,1427
2001,09,Toscana,780,2,0,4507,134,5423
2001,10,Umbria,1506,4,0,0,19,1529
2001,11,Marche,445,0,0,0,23,468
2001,12,Lazio,1150,0,0,0,95,1246
2001,13,Abruzzo,1434,42,1,0,0,1477
2001,14,Molise,157,61,0,0,0,218
2001,15,Campania,443,538,3,0,57,1041
2001,16,Puglia,3,446,0,0,128,577
2001,17,Basilicata,191,38,0,0,23,252
2001,18,Calabria,807,0,0,0,80,888
2001,19,Sicilia,75,6,0,0,14,95
2001,20,Sardegna,188,35,1,0,51,274
2002,01,Piemonte,6616,0,0,0,134,6749
2002,02,Valle D'Aosta,2951,0,0,0,0,2951
2002,03,Lombardia,9155,0,0,0,1252,10406
2002,04,Trentino,8915,0,0,0,74,8989
2002,05,Veneto,3912,0,0,0,322,4235
2002,06,Friuli,1645,0,0,0,46,1691
2002,07,Liguria,215,3,0,0,22,241
2002,08,Emilia Romagna,938,1,0,0,496,1436
2002,09,Toscana,657,3,0,4662,196,5519
2002,10,Umbria,1004,3,0,0,64,1072
2002,11,Marche,337,0,0,0,26,362
2002,12,Lazio,706,1,0,0,173,881
2002,13,Abruzzo,1256,150,1,0,0,1406
2002,14,Molise,127,55,0,0,73,255
2002,15,Campania,337,471,2,0,66,876
2002,16,Puglia,0,483,0,0,154,636
2002,17,Basilicata,97,100,0,0,18,214
2002,18,Calabria,532,0,0,0,228,761
2002,19,Sicilia,46,31,0,0,27,104
2002,20,Sardegna,74,102,0,0,52,228
2003,01,Piemonte,5560,0,0,0,193,5754
2003,02,Valle D'Aosta,2857,0,0,0,4,2861
2003,03,Lombardia,8682,0,0,0,1517,10198
2003,04,Trentino,7409,0,0,0,79,7488
2003,05,Veneto,2937,0,0,0,334,3272
2003,06,Friuli,1189,0,0,0,48,1236
2003,07,Liguria,203,3,0,0,18,224
2003,08,Emilia Romagna,803,3,0,0,635,1441
2003,09,Toscana,589,4,0,5341,287,6221
2003,10,Umbria,1062,3,0,0,108,1172
2003,11,Marche,469,0,0,0,29,499
2003,12,Lazio,844,2,0,0,344,1190
2003,13,Abruzzo,1641,148,1,0,0,1790
2003,14,Molise,169,58,0,0,109,335
2003,15,Campania,529,454,3,0,81,1067
2003,16,Puglia,0,458,0,0,150,608
2003,17,Basilicata,276,125,0,0,11,411
2003,18,Calabria,1087,0,0,0,442,1528
2003,19,Sicilia,113,49,0,0,42,203
2003,20,Sardegna,259,151,1,0,62,472
2004,01,Piemonte,6264,0,0,0,241,6505
2004,02,Valle D'Aosta,2861,0,0,0,4,2865
2004,03,Lombardia,9398,0,0,0,1831,11229
2004,04,Trentino,8606,0,0,0,80,8687
2004,05,Veneto,3666,0,0,0,344,4011
2004,06,Friuli,1723,0,0,0,87,1810
2004,07,Liguria,239,4,0,0,34,277
2004,08,Emilia Romagna,1033,4,0,0,770,1806
2004,09,Toscana,710,4,0,5437,385,6536
2004,10,Umbria,1633,4,0,0,121,1758
2004,11,Marche,589,0,0,0,29,618
2004,12,Lazio,1252,2,0,0,395,1650
2004,13,Abruzzo,1865,177,0,0,0,2042
2004,14,Molise,229,60,0,0,120,409
2004,15,Campania,621,520,3,0,101,1245
2004,16,Puglia,0,545,1,0,258,804
2004,17,Basilicata,313,157,0,0,18,487
2004,18,Calabria,1314,0,0,0,690,2004
2004,19,Sicilia,117,152,0,0,62,332
2004,20,Sardegna,312,218,1,0,67,598
2005,01,Piemonte,5569,0,0,0,270,5839
2005,02,Valle D'Aosta,2715,0,0,0,2,2718
2005,03,Lombardia,7148,0,0,0,1968,9117
2005,04,Trentino,6596,0,0,0,80,6677
2005,05,Veneto,3024,0,0,0,374,3398
2005,06,Friuli,1285,0,0,0,117,1402
2005,07,Liguria,151,9,0,0,24,183
2005,08,Emilia Romagna,788,2,0,0,909,1699
