Anno,Codice,Regione,Classificazione Impianti,Totale,Produttori,Autoproduttori
2008,3,Lombardia,Impianti eolici n.,0,0,0
2008,3,Lombardia,Impianti eolici Potenza efficiente lorda MW,0,0,0
2008,3,Lombardia,Impianti fotovoltaici Potenza efficiente lorda MW,50,50,0
2008,3,Lombardia,Impianti termoelettrici n.,214,112,102
2008,3,Lombardia,Impianti idroelettrici n.,342,293,49
2008,3,Lombardia,Impianti termoelettrici Sezioni n.,389,214,175
2008,3,Lombardia,Impianti fotovoltaici n.,5148,5148,0
2008,3,Lombardia,Impianti idroelettrici Potenza efficiente netta MW,5808,5736,72
2008,3,Lombardia,Impianti idroelettrici Potenza efficiente lorda MW,5919,5846,73
2008,3,Lombardia,Impianti termoelettrici Potenza efficiente netta MW,12317,11601,716
2008,3,Lombardia,Impianti termoelettrici Potenza efficiente lorda MW,12793,12052,741
2008,3,Lombardia,Impianti idroelettrici Producibilità media annua GWh,12797,12402,395
2009,3,Lombardia,Impianti eolici n.,0,0,0
2009,3,Lombardia,Impianti eolici Potenza efficiente lorda MW,0,0,0
2009,3,Lombardia,Impianti fotovoltaici Potenza efficiente lorda MW,126,126,0
2009,3,Lombardia,Impianti termoelettrici n.,236,139,97
2009,3,Lombardia,Impianti idroelettrici n.,352,304,48
2009,3,Lombardia,Impianti termoelettrici Sezioni n.,406,238,168
2009,3,Lombardia,Impianti idroelettrici Potenza efficiente netta MW,5839,5767,72
2009,3,Lombardia,Impianti idroelettrici Potenza efficiente lorda MW,5951,5878,74
2009,3,Lombardia,Impianti fotovoltaici n.,10814,10814,0
2009,3,Lombardia,Impianti termoelettrici Potenza efficiente netta MW,11759,11068,691
2009,3,Lombardia,Impianti termoelettrici Potenza efficiente lorda MW,12257,11543,714
2009,3,Lombardia,Impianti idroelettrici Producibilità media annua GWh,12850,12452,398
2010,3,Lombardia,Impianti eolici Potenza efficiente lorda MW,0,0,0
2010,3,Lombardia,Impianti eolici n.,1,0,0
2010,3,Lombardia,Impianti termoelettrici n.,323,228,95
2010,3,Lombardia,Impianti fotovoltaici Potenza efficiente lorda MW,372,,0
2010,3,Lombardia,Impianti idroelettrici n.,390,,
2010,3,Lombardia,Impianti termoelettrici Sezioni n.,499,343,156
2010,3,Lombardia,Impianti idroelettrici Potenza efficiente lorda MW,4988,,
2010,3,Lombardia,Impianti idroelettrici Potenza efficiente netta MW,5873,5804,69
2010,3,Lombardia,Impianti termoelettrici Potenza efficiente netta MW,12595,11898,697
2010,3,Lombardia,Impianti termoelettrici Potenza efficiente lorda MW,13103,12382,722
2010,3,Lombardia,Impianti fotovoltaici n.,23274,,0
2010,3,Lombardia,Impianti idroelettrici Producibilità media annua GWh,,,
2011,3,Lombardia,Impianti eolici Potenza efficiente lorda MW,0.0,0.0,0.0
2011,3,Lombardia,Impianti eolici n.,3.0,3.0,0.0
2011,3,Lombardia,Impianti idroelettrici n.,419.0,386.0,33.0
2011,3,Lombardia,Impianti termoelettrici n.,533.0,444.0,89.0
2011,3,Lombardia,Impianti termoelettrici Sezioni n.,743.0,602.0,141.0
2011,3,Lombardia,Impianti fotovoltaici Potenza efficiente lorda MW,1321.6,1321.6,0.0
2011,3,Lombardia,Impianti idroelettrici Potenza efficiente netta MW,5899.0,5832.8,66.2
2011,3,Lombardia,Impianti idroelettrici Potenza efficiente lorda MW,6015.9,5948.0,67.9
2011,3,Lombardia,Impianti termoelettrici Potenza efficiente netta MW,12621.8,11999.7,622.1
2011,3,Lombardia,Impianti idroelettrici Producibilità media annua GWh,12935.4,12556.4,379.0
2011,3,Lombardia,Impianti termoelettrici Potenza efficiente lorda MW,13131.8,12490.4,641.4
2011,3,Lombardia,Impianti fotovoltaici n.,48704.0,48704.0,0.0
2012,3,Lombardia,Impianti eolici Potenza efficiente lorda MW,0.0,0.0,0.0
2012,3,Lombardia,Impianti eolici n.,4.0,4.0,0.0
2012,3,Lombardia,Impianti idroelettrici n.,428.0,405.0,23.0
2012,3,Lombardia,Impianti termoelettrici n.,831.0,724.0,107.0
2012,3,Lombardia,Impianti termoelettrici Sezioni n.,1105.0,944.0,161.0
2012,3,Lombardia,Impianti fotovoltaici Potenza efficiente lorda MW,1821.8,1821.8,0.0
2012,3,Lombardia,Impianti idroelettrici Potenza efficiente netta MW,5920.7,5863.6,57.1
2012,3,Lombardia,Impianti idroelettrici Potenza efficiente lorda MW,6038.5,5979.9,58.6
2012,3,Lombardia,Impianti termoelettrici Potenza efficiente netta MW,12850.1,12252.6,597.5
2012,3,Lombardia,Impianti idroelettrici Producibilità media annua GWh,13036.2,12717.1,319.1
2012,3,Lombardia,Impianti termoelettrici Potenza efficiente lorda MW,13376.0,12758.4,617.6
2012,3,Lombardia,Impianti fotovoltaici n.,68434.0,68434.0,0.0
2013,3,Lombardia,Impianti eolici Potenza efficiente lorda MW,0.0,0.0,0.0
