Anno;Codice;Regione;Idrica;Eolica;Fotovoltaica;Geotermica;Bioenergie;Totale
2001;01;Piemonte;6530,9;0;0;0;122,6;6653,5
2001;02;Valle d'Aosta/Vallée d'Aoste;3052,9;0;0;0;0;3052,9
2001;03;Lombardia;12416,4;0;0;0;1019,4;13435,8
2001;04;Trentino-Alto Adige;10554,2;0;0;0;68,5;10622,7
2001;05;Veneto;4147,7;0;0;0;313,2;4460,9
2001;06;Friuli-Venezia Giulia;1616,6;0;0;0;46;1662,6
2001;07;Liguria;264;1,5;0;0;21,3;286,8
2001;08;Emilia-Romagna;1049,9;4,5;0;0;372,9;1427,3
2001;09;Toscana;779,9;1,6;0;4506,6;134,4;5422,5
2001;10;Umbria;1505,9;3,9;0;0;19,4;1529,3
2001;11;Marche;445,2;0;0;0;22,6;467,8
2001;12;Lazio;1150,4;0;0;0;95,1;1245,5
2001;13;Abruzzo;1433,8;42,2;1;0;0;1477,2
2001;14;Molise;156,5;61,2;0;0;0;217,8
2001;15;Campania;443,2;538;2,6;0;57;1040,8
2001;16;Puglia;2,7;446,3;0,2;0;127,5;576,7
2001;17;Basilicata;190,8;38,1;0;0;22,7;251,6
2001;18;Calabria;807,1;0,3;0;0;80,2;887,5
2001;19;Sicilia;74,5;6;0,1;0;13,8;94,5
2001;20;Sardegna;187,7;34,8;0,7;0;50,8;274,1
2002;01;Piemonte;6615,8;0,1;0;0;133,6;6749,4
2002;02;Valle d'Aosta/Vallée d'Aoste;2951,4;0;0;0;0;2951,4
2002;03;Lombardia;9154,5;0;0;0;1251,6;10406,1
2002;04;Trentino-Alto Adige;8915,2;0;0;0;74;8989,2
2002;05;Veneto;3912,2;0;0;0;322,4;4234,5
2002;06;Friuli-Venezia Giulia;1645,2;0;0;0;46,2;1691,4
2002;07;Liguria;215,4;3;0;0;22,4;240,8
2002;08;Emilia-Romagna;938,3;1,4;0;0;495,8;1435,5
2002;09;Toscana;657,1;3,4;0;4662,3;196,2;5519,1
