Provincia;Codice ISTAT Comune;Anno;Densita
TORINO;1272;2000;6932.1
TORINO;1272;2001;6782.1
TORINO;1272;2002;6631.0
TORINO;1272;2003;6643.2
TORINO;1272;2004;6799.2
TORINO;1272;2005;6925.0
TORINO;1272;2006;6918.6
TORINO;1272;2007;6948.0
TORINO;1272;2008;6979.7
TORINO;1272;2009;6984.6
TORINO;1272;2010;6979.7
TORINO;1272;2011;6965.3
VERCELLI;2158;2000;600.7
VERCELLI;2158;2001;582.9
VERCELLI;2158;2002;563.1
VERCELLI;2158;2003;562.0
VERCELLI;2158;2004;562.7
VERCELLI;2158;2005;561.5
VERCELLI;2158;2006;558.5
VERCELLI;2158;2007;557.1
VERCELLI;2158;2008;573.4
VERCELLI;2158;2009;589.0
VERCELLI;2158;2010;588.3
VERCELLI;2158;2011;588.9
NOVARA;3106;2000;991.5
NOVARA;3106;2001;986.1
NOVARA;3106;2002;981.1
NOVARA;3106;2003;987.6
NOVARA;3106;2004;995.3
NOVARA;3106;2005;998.0
NOVARA;3106;2006;997.2
NOVARA;3106;2007;997.5
NOVARA;3106;2008;1002.4
NOVARA;3106;2009;1009.6
NOVARA;3106;2010;1016.5
NOVARA;3106;2011;1020.4
CUNEO;4078;2000;455.6
CUNEO;4078;2001;446.1
CUNEO;4078;2002;446.2
CUNEO;4078;2003;456.8
CUNEO;4078;2004;457.9
CUNEO;4078;2005;457.7
CUNEO;4078;2006;456.7
CUNEO;4078;2007;457.4
CUNEO;4078;2008;459.5
CUNEO;4078;2009;461.6
CUNEO;4078;2010;463.7
CUNEO;4078;2011;466.0
ASTI;5005;2000;481.9
ASTI;5005;2001;475.6
ASTI;5005;2002;470.2
ASTI;5005;2003;476.4
ASTI;5005;2004;482.7
ASTI;5005;2005;484.7
ASTI;5005;2006;486.1
ASTI;5005;2007;488.8
ASTI;5005;2008;493.5
ASTI;5005;2009;498.0
ASTI;5005;2010;502.1
ASTI;5005;2011;505.0
ALESSANDRIA;6003;2000;442.1
ALESSANDRIA;6003;2001;430.1
ALESSANDRIA;6003;2002;418.2
ALESSANDRIA;6003;2003;419.4
ALESSANDRIA;6003;2004;432.6
ALESSANDRIA;6003;2005;446.5
ALESSANDRIA;6003;2006;449.4
ALESSANDRIA;6003;2007;452.5
ALESSANDRIA;6003;2008;457.3
ALESSANDRIA;6003;2009;460.6
ALESSANDRIA;6003;2010;463.8
ALESSANDRIA;6003;2011;466.2
AOSTA;7003;2000;1622.7
AOSTA;7003;2001;1606.4
AOSTA;7003;2002;1596.3
AOSTA;7003;2003;1600.1
AOSTA;7003;2004;1601.9
AOSTA;7003;2005;1610.9
AOSTA;7003;2006;1620.3
AOSTA;7003;2007;1623.0
AOSTA;7003;2008;1630.2
AOSTA;7003;2009;1638.4
AOSTA;7003;2010;1640.0
AOSTA;7003;2011;1637.6
IMPERIA;8031;2000;893.2
IMPERIA;8031;2001;876.6
IMPERIA;8031;2002;862.5
IMPERIA;8031;2003;870.3
IMPERIA;8031;2004;880.4
IMPERIA;8031;2005;892.9
IMPERIA;8031;2006;899.6
IMPERIA;8031;2007;906.2
IMPERIA;8031;2008;915.8
IMPERIA;8031;2009;924.8
IMPERIA;8031;2010;932.9
IMPERIA;8031;2011;939.4
SAVONA;9056;2000;948.7
SAVONA;9056;2001;929.6
SAVONA;9056;2002;930.2
SAVONA;9056;2003;944.9
SAVONA;9056;2004;943.0
SAVONA;9056;2005;942.1
SAVONA;9056;2006;942.0
SAVONA;9056;2007;943.2
SAVONA;9056;2008;947.9
SAVONA;9056;2009;952.3
SAVONA;9056;2010;953.8
SAVONA;9056;2011;952.7
GENOVA;10025;2000;2603.6
