Provincia;CodiceISTAT;Anno;Densita
TORINO;1272;2015;6925.0
TORINO;1272;2016;6918.6
TORINO;1272;2017;6948.0
TORINO;1272;2018;6979.7
TORINO;1272;2019;6984.6
TORINO;1272;2020;6979.7
TORINO;1272;2021;6965.3
VERCELLI;2158;2015;561.5
VERCELLI;2158;2016;558.5
VERCELLI;2158;2017;557.1
VERCELLI;2158;2018;573.4
VERCELLI;2158;2019;589.0
VERCELLI;2158;2020;588.3
VERCELLI;2158;2021;588.9
NOVARA;3106;2015;998.0
NOVARA;3106;2016;997.2
NOVARA;3106;2017;997.5
NOVARA;3106;2018;1002.4
NOVARA;3106;2019;1009.6
NOVARA;3106;2020;1016.5
NOVARA;3106;2021;1020.4
CUNEO;4078;2015;457.7
CUNEO;4078;2016;456.7
CUNEO;4078;2017;457.4
CUNEO;4078;2018;459.5
CUNEO;4078;2019;461.6
CUNEO;4078;2020;463.7
CUNEO;4078;2021;466.0
ASTI;5005;2015;484.7
ASTI;5005;2016;486.1
ASTI;5005;2017;488.8
ASTI;5005;2018;493.5
ASTI;5005;2019;498.0
ASTI;5005;2020;502.1
ASTI;5005;2021;505.0
ALESSANDRIA;6003;2015;446.5
ALESSANDRIA;6003;2016;449.4
ALESSANDRIA;6003;2017;452.5
ALESSANDRIA;6003;2018;457.3
ALESSANDRIA;6003;2019;460.6
ALESSANDRIA;6003;2020;463.8
ALESSANDRIA;6003;2021;466.2
AOSTA;7003;2015;1610.9
AOSTA;7003;2016;1620.3
AOSTA;7003;2017;1623.0
AOSTA;7003;2018;1630.2
AOSTA;7003;2019;1638.4
AOSTA;7003;2020;1640.0
AOSTA;7003;2021;1637.6
IMPERIA;8031;2015;892.9
IMPERIA;8031;2016;899.6
IMPERIA;8031;2017;906.2
IMPERIA;8031;2018;915.8
IMPERIA;8031;2019;924.8
IMPERIA;8031;2020;932.9
IMPERIA;8031;2021;939.4
SAVONA;9056;2015;942.1
SAVONA;9056;2016;942.0
SAVONA;9056;2017;943.2
SAVONA;9056;2018;947.9
SAVONA;9056;2019;952.3
SAVONA;9056;2020;953.8
SAVONA;9056;2021;952.7
GENOVA;10025;2015;2515.2
GENOVA;10025;2016;2537.0
GENOVA;10025;2017;2517.6
GENOVA;10025;2018;2508.3
GENOVA;10025;2019;2506.0
GENOVA;10025;2020;2499.3
GENOVA;10025;2021;2493.6
LA SPEZIA;11015;2015;1821.3
LA SPEZIA;11015;2016;1821.2
LA SPEZIA;11015;2017;1824.8
LA SPEZIA;11015;2018;1836.2
LA SPEZIA;11015;2019;1845.9
LA SPEZIA;11015;2020;1846.0
LA SPEZIA;11015;2021;1842.8
VARESE;12133;2015;1514.8
VARESE;12133;2016;1502.1
VARESE;12133;2017;1495.1
VARESE;12133;2018;1493.1
VARESE;12133;2019;1490.8
VARESE;12133;2020;1487.1
VARESE;12133;2021;1484.1
COMO;13075;2015;2223.1
COMO;13075;2016;2226.4
COMO;13075;2017;2228.7
COMO;13075;2018;2239.7
COMO;13075;2019;2261.6
COMO;13075;2020;2277.4
COMO;13075;2021;2294.8
SONDRIO;14061;2015;1068.9
SONDRIO;14061;2016;1073.5
SONDRIO;14061;2017;1081.6
SONDRIO;14061;2018;1089.7
SONDRIO;14061;2019;1092.5
SONDRIO;14061;2020;1093.9
SONDRIO;14061;2021;1093.7
MILANO;15146;2015;7162.6
MILANO;15146;2016;7173.5
MILANO;15146;2017;7148.5
MILANO;15146;2018;7127.3
MILANO;15146;2019;7148.9
MILANO;15146;2020;7226.9
MILANO;15146;2021;7325.0
BERGAMO;16024;2015;2938.2
BERGAMO;16024;2016;2927.3
BERGAMO;16024;2017;2922.1
BERGAMO;16024;2018;2935.1
BERGAMO;16024;2019;2963.3
BERGAMO;16024;2020;2999.6
BERGAMO;16024;2021;3028.9
BRESCIA;17029;2015;2113.1
BRESCIA;17029;2016;2101.4
BRESCIA;17029;2017;2094.1
BRESCIA;17029;2018;2098.5
BRESCIA;17029;2019;2108.9
BRESCIA;17029;2020;2125.6
BRESCIA;17029;2021;2140.4
PAVIA;18110;2015;1133.9
PAVIA;18110;2016;1127.4
PAVIA;18110;2017;1120.6
PAVIA;18110;2018;1119.3
PAVIA;18110;2019;1127.1
PAVIA;18110;2020;1132.1
PAVIA;18110;2021;1133.4
CREMONA;19036;2015;1014.7
CREMONA;19036;2016;1010.1
CREMONA;19036;2017;1014.9
CREMONA;19036;2018;1024.8
CREMONA;19036;2019;1026.5
CREMONA;19036;2020;1025.7
CREMONA;19036;2021;1025.2
MANTOVA;20030;2015;748.6
MANTOVA;20030;2016;746.3
MANTOVA;20030;2017;746.1
MANTOVA;20030;2018;750.4
MANTOVA;20030;2019;755.7
MANTOVA;20030;2020;757.7
MANTOVA;20030;2021;761.7
BOLZANO;21008;2015;1871.7
BOLZANO;21008;2016;1895.7
BOLZANO;21008;2017;1914.6
BOLZANO;21008;2018;1935.3
BOLZANO;21008;2019;1959.2
BOLZANO;21008;2020;1979.4
BOLZANO;21008;2021;1995.7
TRENTO;22205;2015;700.3
TRENTO;22205;2016;705.3
TRENTO;22205;2017;710.3
TRENTO;22205;2018;718.3
TRENTO;22205;2019;727.4
TRENTO;22205;2020;733.9
TRENTO;22205;2021;738.9
VERONA;23091;2015;1254.2
VERONA;23091;2016;1258.2
VERONA;23091;2017;1269.8
VERONA;23091;2018;1281.1
VERONA;23091;2019;1281.7
VERONA;23091;2020;1278.3
VERONA;23091;2021;1277.6
VICENZA;24116;2015;1413.2
VICENZA;24116;2016;1418.0
VICENZA;24116;2017;1417.3
VICENZA;24116;2018;1421.9
VICENZA;24116;2019;1430.8
VICENZA;24116;2020;1436.5
VICENZA;24116;2021;1437.2
BELLUNO;25006;2015;242.8
BELLUNO;25006;2016;244.1
BELLUNO;25006;2017;245.8
BELLUNO;25006;2018;247.6
BELLUNO;25006;2019;248.4
BELLUNO;25006;2020;248.7
BELLUNO;25006;2021;248.6
TREVISO;26086;2015;1482.1
TREVISO;26086;2016;1478.9
TREVISO;26086;2017;1472.1
TREVISO;26086;2018;1476.1
TREVISO;26086;2019;1481.2
TREVISO;26086;2020;1486.6
TREVISO;26086;2021;1498.3
VENEZIA;27042;2015;650.4
VENEZIA;27042;2015;650.4
VENEZIA;27042;2016;647.6
VENEZIA;27042;2016;647.6
VENEZIA;27042;2017;646.6
VENEZIA;27042;2017;646.6
VENEZIA;27042;2018;648.0
VENEZIA;27042;2018;648.0
VENEZIA;27042;2019;650.2
VENEZIA;27042;2019;650.2
VENEZIA;27042;2020;651.2
VENEZIA;27042;2020;651.2
VENEZIA;27042;2021;650.9
VENEZIA;27042;2021;650.9
PADOVA;28060;2015;2271.4
PADOVA;28060;2016;2268.6
PADOVA;28060;2017;2264.3
PADOVA;28060;2018;2273.1
PADOVA;28060;2019;2288.2
PADOVA;28060;2020;2300.4
PADOVA;28060;2021;2306.4
ROVIGO;29041;2015;469.5
ROVIGO;29041;2016;470.9
ROVIGO;29041;2017;473.3
ROVIGO;29041;2018;476.5
ROVIGO;29041;2019;478.8
ROVIGO;29041;2020;483.1
ROVIGO;29041;2021;488.9
UDINE;30129;2015;1703.6
UDINE;30129;2016;1706.6
UDINE;30129;2017;1717.2
UDINE;30129;2018;1737.7
UDINE;30129;2019;1751.5
UDINE;30129;2020;1756.4
UDINE;30129;2021;1760.5
GORIZIA;31007;2015;888.3
GORIZIA;31007;2016;882.9
GORIZIA;31007;2017;879.1
GORIZIA;31007;2018;876.6
GORIZIA;31007;2019;875.0
GORIZIA;31007;2020;873.0
GORIZIA;31007;2021;871.0
TRIESTE;32006;2015;2444.8
TRIESTE;32006;2016;2434.7
TRIESTE;32006;2017;2430.6
